id,district,spot_name,image_url,best_time_to_visit,latitude,longitude,description
1,Coimbatore,Marudhamalai Temple,https://upload.wikimedia.org/wikipedia/commons/4/49/Marudhamalai.jpg,Nov-Feb,11.0168,76.9558,Ancient hill temple with scenic views.
2,Coimbatore,VOC Park & Zoo,https://upload.wikimedia.org/wikipedia/commons/7/70/VOC_Park_Coimbatore.jpg,Oct-Mar,11.0168,76.9558,Zoo and recreational park popular with families.
3,Coimbatore,Dhyanalinga,https://upload.wikimedia.org/wikipedia/commons/3/3b/Dhyanalinga.jpg,Oct-Mar,11.013,76.955,Unique meditative temple attracting spiritual visitors.
4,Coimbatore,Perur Pateeswarar Temple,https://upload.wikimedia.org/wikipedia/commons/2/2c/Perur_Temple.jpg,Oct-Feb,11.008,76.96,Historic Dravidian temple with intricate carvings.
5,Coimbatore,Nilgiri Biosphere,https://upload.wikimedia.org/wikipedia/commons/1/17/Nilgiris_Hills.jpg,Nov-Apr,11.01,76.97,Biodiverse hill region for nature enthusiasts.
6,Coimbatore,Gandhipuram Market,https://upload.wikimedia.org/wikipedia/commons/9/95/Gandhipuram_Market.jpg,All Year,11.017,76.955,Famous local market for food and shopping.
7,Coimbatore,Anna Zoological Park,https://upload.wikimedia.org/wikipedia/commons/7/74/Anna_Zoo.jpg,Nov-Mar,11.0135,76.9605,Popular zoo with diverse animal species.
8,Coimbatore,Periyanaickenpalayam Lake,https://upload.wikimedia.org/wikipedia/commons/5/5d/Lake_Coimbatore.jpg,Oct-Mar,11.018,76.954,Scenic lake ideal for boating and picnics.
9,Coimbatore,Brookefields Mall,https://upload.wikimedia.org/wikipedia/commons/8/8f/Brookefields_Coimbatore.jpg,All Year,11.02,76.96,Shopping mall with entertainment and dining options.
10,Coimbatore,Spencer Plaza,https://upload.wikimedia.org/wikipedia/commons/1/12/Spencer_Plaza_Coimbatore.jpg,All Year,11.015,76.958,Modern shopping complex with food courts.
11,Coimbatore,Perur Lake,https://upload.wikimedia.org/wikipedia/commons/5/5d/Perur_Lake_Coimbatore.jpg,Oct-Mar,11.012,76.961,Tranquil lake surrounded by greenery.
12,Coimbatore,Anamalai Tiger Reserve,https://upload.wikimedia.org/wikipedia/commons/9/90/Anamalai_Tiger_Reserve.jpg,Nov-Apr,10.8,76.9,Tiger reserve and wildlife sanctuary in Western Ghats.
